Timestamp,Url,Title,Article ,High,Low,Weighted Price
2013-11-28,http://www.theguardian.com/commentisfree/2013/nov/28/most-valuable-thing-lost-computer-bitcoins,positive,negative,1224.59998,1032.15,1148.11
2013-11-28,http://www.theguardian.com/politics/2013/nov/28/boris-johnson-iq-intelligence-gordon-gekko,neutral,neutral,1224.59998,1032.15,1148.11
2013-11-27,http://www.theguardian.com/business/2013/nov/27/royal-mail-profits-double-as-mps-prepare-to-quiz-vince-cable-business-live,negative,neutral,1094.794,914.31556,1000.4
2013-11-27,http://www.theguardian.com/technology/2013/nov/27/hard-drive-bitcoin-landfill-site,negative,neutral,1094.794,914.31556,1000.4
2013-11-27,http://www.theguardian.com/technology/audio/2013/nov/27/podcast-tech-weekly-eli-horowitz,neutral,neutral,1094.794,914.31556,1000.4
2013-11-26,http://www.theguardian.com/technology/blog/2013/nov/26/amazon-business-bitcoin,negative,neutral,975,825.1,894.89
2013-11-25,http://www.theguardian.com/technology/2013/nov/25/where-can-you-use-bitcoins-brief-guide,positive,positive,850,758.95852,812.21
2013-11-25,http://www.theguardian.com/technology/2013/nov/25/is-bitcoin-about-to-change-the-world-peer-to-peer-cryptocurrency-virtual-wallet,neutral,neutral,850,758.95852,812.21
2013-11-25,http://www.theguardian.com/technology/2013/nov/25/majority-of-silk-roads-bitcoins-may-remain-unseized,neutral,negative,850,758.95852,812.21
2013-11-25,http://www.theguardian.com/media/2013/nov/25/media-briefing-monday-25-november,neutral,positive,850,758.95852,812.21
2013-11-22,http://www.theguardian.com/technology/2013/nov/22/virgin-galactic-bitcoin-space-flights-payment,neutral,neutral,821.999,682.3,752.2
2013-11-22,http://www.theguardian.com/media/2013/nov/22/media-briefing-friday-22-november,neutral,negative,821.999,682.3,752.2
2013-11-21,http://www.theguardian.com/technology/2013/nov/21/silk-road-founder-held-without-bail,negative,neutral,784.4444,595.21,700.39
2013-11-21,http://www.theguardian.com/technology/2013/nov/21/us-police-force-pay-bitcoin-ransom-in-cryptolocker-malware-scam,neutral,neutral,784.4444,595.21,700.39
2013-11-21,http://www.theguardian.com/media/2013/nov/21/media-briefing-thursday-21-november,neutral,neutral,784.4444,595.21,700.39
2013-11-19,http://www.theguardian.com/media/2013/nov/19/media-briefing-tuesday-19-november,neutral,neutral,900.97998,502.6212,697.19
2013-11-19,http://www.theguardian.com/books/2013/nov/19/selfie-word-of-the-year-oed-olinguito-twerk,neutral,positive,900.97998,502.6212,697.19
2013-11-18,http://www.theguardian.com/business/2013/nov/18/chinese-stocks-markets-surge-on-economic-reforms-business-live,positive,neutral,788,522,631.04
2013-11-18,http://www.theguardian.com/technology/2013/nov/18/bitcoin-risks-rewards-senate-hearing-virtual-currency,neutral,neutral,788,522,631.04
2013-11-18,http://www.theguardian.com/commentisfree/2013/nov/18/bitcoin-senate-hearings-regulation,positive,negative,788,522,631.04
2013-11-18,http://www.theguardian.com/technology/2013/nov/18/filesharing-search-engine-tor-dark-web-bitcoin-newznab,neutral,negative,788,522,631.04
2013-11-15,http://www.theguardian.com/technology/2013/nov/15/uk-faces-ransomware-cybercrime-attack,neutral,neutral,458,413.05,436.34
2013-11-15,http://www.theguardian.com/media/2013/nov/15/media-briefing-friday-15-november,neutral,negative,458,413.05,436.34
2013-11-10,http://www.theguardian.com/technology/2013/nov/10/silk-road-internet-market-illegal-drugs-ross-ulbricht,neutral,positive,372.5,290,326.25
2013-11-08,http://www.theguardian.com/technology/2013/nov/08/hackers-steal-1m-from-bitcoin-tradefortress-site,neutral,neutral,358,308.01001,337.79
2013-11-08,http://www.theguardian.com/technology/blog/2013/nov/08/technology-links-newsbucket,negative,neutral,358,308.01001,337.79
2013-11-07,http://www.theguardian.com/technology/2013/nov/07/silk-road-20-resurrects-online-drugs-marketplace,neutral,neutral,324.198,263.60001,296.95
2013-11-06,http://www.theguardian.com/technology/2013/nov/06/bitcoin-price-hits-all-time-high-of-269,positive,neutral,272.52,251.4134,263.03
2013-11-05,http://www.theguardian.com/technology/2013/nov/05/bitcoin-hijack-research-mining,neutral,neutral,258.87626,229,245.83
2013-11-04,http://www.theguardian.com/news/datablog/interactive/2013/nov/04/bitcoin-how-does-work-cryptocurrency,negative,positive,239.02,222,230.53
2013-11-01,http://www.theguardian.com/travel/2013/nov/01/bitcoin-currency-for-travellers,neutral,neutral,215,209.76,212.87
2013-10-30,http://www.theguardian.com/commentisfree/2013/oct/30/digital-age-nostalgia-online-generation,neutral,neutral,216.5,204,210.99
2013-10-29,http://www.theguardian.com/technology/2013/oct/29/bitcoin-forgotten-currency-norway-oslo-home,neutral,positive,216.5,204.20001,211.27
2013-10-24,http://www.theguardian.com/media/2013/oct/24/media-briefing-thursday-24-october,neutral,neutral,233.4,175.30001,203.07
2013-10-21,http://www.theguardian.com/technology/2013/oct/21/bitcoin-price-surges-to-post-crash-high,positive,negative,197.39005,183.2,191.65
2013-10-18,http://www.theguardian.com/technology/2013/oct/18/silk-road-black-market-reloaded-closed,negative,neutral,168.3,156.5,163.37
2013-10-15,http://www.theguardian.com/technology/2013/oct/15/silk-road-ross-ulbricht-alleged-mastermind,positive,neutral,158.1,150.628,154.33
2013-10-09,http://www.theguardian.com/technology/2013/oct/09/silk-road-founder-new-york-charges,negative,positive,142.1,135.8,139.28
2013-10-09,http://www.theguardian.com/technology/blog/2013/oct/09/qualcomm-office-htc-silk-road,neutral,neutral,142.1,135.8,139.28
2013-10-08,http://www.theguardian.com/technology/2013/oct/08/silk-road-hack-suspicion-fbi-server,neutral,neutral,137.79499,135.66,136.68
2013-10-08,http://www.theguardian.com/uk-news/2013/oct/08/silk-road-illegal-drugs-arrested-britain,neutral,negative,137.79499,135.66,136.68
2013-10-07,http://www.theguardian.com/technology/2013/oct/07/fbi-bitcoin-pranked-silk-road,neutral,neutral,139,135.12,137.17
2013-10-07,http://www.theguardian.com/technology/2013/oct/07/fbi-bitcoin-silk-road-ross-ulbricht,neutral,positive,139,135.12,137.17
2013-10-05,http://www.theguardian.com/society/2013/oct/06/dark-net-drugs,negative,positive,138,135.3,136.48
2013-10-04,http://www.theguardian.com/technology/2013/oct/04/bitcoin-what-you-need-to-know-silk-road,positive,negative,139.8,128.5,134.82
2013-10-04,http://www.theguardian.com/media/2013/oct/04/media-briefing-friday-4-october,neutral,negative,139.8,128.5,134.82
2013-10-03,http://www.theguardian.com/technology/2013/oct/03/five-stupid-things-dread-pirate-roberts-did-to-get-arrested,neutral,negative,132,120.1,127.35
2013-10-03,http://www.theguardian.com/technology/2013/oct/03/bitcoin-price-silk-road-ulbricht-value,positive,negative,132,120.1,127.35
2013-10-03,http://www.theguardian.com/technology/2013/oct/03/silk-road-underground-market-closed-bitcoin,negative,neutral,132,120.1,127.35
2013-10-03,http://www.theguardian.com/technology/2013/oct/02/bitcoin-silk-road-how-to-seize,neutral,neutral,132,120.1,127.35
